,States,Daily cases,Cumulative,date
6,Negeri Sembilan,27,18234,2021-04-24
7,Perak,54,14324,2021-04-24
8,Kelantan,518,11193,2021-04-24
9,Kedah,34,9397,2021-04-24
10,Melaka,30,7125,2021-04-24
11,Pahang,22,4915,2021-04-24
12,Terengganu,50,4002,2021-04-24
13,Wp Labuan,0,2442,2021-04-24
14,Wp Putrajaya,11,1321,2021-04-24
15,Perlis,1,355,2021-04-24
2,Johor,159,44287,2021-04-25
6,Negeri Sembilan,57,18291,2021-04-25
0,Selangor,751,128011,2021-04-25
1,Sabah,121,57659,2021-04-25
3,Wp Kuala Lumpur,217,41971,2021-04-25
4,Sarawak,595,27914,2021-04-25
5,Pulau Pinang,117,19062,2021-04-25
7,Perak,64,14388,2021-04-25
8,Kelantan,424,11617,2021-04-25
10,Melaka,42,7167,2021-04-25
11,Pahang,33,4948,2021-04-25
12,Terengganu,25,4027,2021-04-25
14,Wp Putrajaya,5,1326,2021-04-25
15,Perlis,1,356,2021-04-25
9,Kedah,76,9473,2021-04-25
13,Wp Labuan,3,2445,2021-04-25
2,Johor,309,44596,2021-04-26
15,Perlis,0,356,2021-04-26
4,Sarawak,615,28529,2021-04-26
3,Wp Kuala Lumpur,254,42225,2021-04-26
6,Negeri Sembilan,112,18403,2021-04-26
1,Sabah,88,57747,2021-04-26
0,Selangor,762,128773,2021-04-26
5,Pulau Pinang,123,19185,2021-04-26
9,Kedah,39,9512,2021-04-26
11,Pahang,34,4982,2021-04-26
7,Perak,45,14433,2021-04-26
8,Kelantan,343,11960,2021-04-26
10,Melaka,34,7201,2021-04-26
13,Wp Labuan,2,2447,2021-04-26
12,Terengganu,9,4036,2021-04-26
14,Wp Putrajaya,7,1333,2021-04-26
15,Perlis,1,357,2021-04-27
5,Pulau Pinang,115,19300,2021-04-27
0,Selangor,750,129523,2021-04-27
1,Sabah,82,57829,2021-04-27
2,Johor,220,44816,2021-04-27
4,Sarawak,432,28961,2021-04-27
6,Negeri Sembilan,39,18442,2021-04-27
3,Wp Kuala Lumpur,377,42602,2021-04-27
8,Kelantan,484,12444,2021-04-27
9,Kedah,51,9563,2021-04-27
11,Pahang,35,5017,2021-04-27
12,Terengganu,61,4097,2021-04-27
13,Wp Labuan,0,2447,2021-04-27
14,Wp Putrajaya,15,1348,2021-04-27
7,Perak,38,14471,2021-04-27
10,Melaka,33,7234,2021-04-27
6,Negeri Sembilan,61,18503,2021-04-28
7,Perak,69,14540,2021-04-28
0,Selangor,1019,130542,2021-04-28
2,Johor,194,45010,2021-04-28
3,Wp Kuala Lumpur,440,43042,2021-04-28
4,Sarawak,416,29377,2021-04-28
5,Pulau Pinang,98,19398,2021-04-28
1,Sabah,87,57916,2021-04-28
15,Perlis,1,358,2021-04-28
10,Melaka,42,7276,2021-04-28
11,Pahang,15,5032,2021-04-28
12,Terengganu,40,4137,2021-04-28
13,Wp Labuan,4,2451,2021-04-28
14,Wp Putrajaya,13,1361,2021-04-28
9,Kedah,120,9683,2021-04-28
8,Kelantan,523,12967,2021-04-28
5,Pulau Pinang,158,19556,2021-04-29
0,Selangor,1083,131625,2021-04-29
1,Sabah,131,58047,2021-04-29
2,Johor,207,45217,2021-04-29
3,Wp Kuala Lumpur,359,43401,2021-04-29
6,Negeri Sembilan,111,18614,2021-04-29
10,Melaka,43,7319,2021-04-29
4,Sarawak,522,29899,2021-04-29
8,Kelantan,401,13368,2021-04-29
7,Perak,91,14631,2021-04-29
11,Pahang,92,5124,2021-04-29
12,Terengganu,19,4156,2021-04-29
13,Wp Labuan,0,2451,2021-04-29
14,Wp Putrajaya,9,1370,2021-04-29
9,Kedah,105,9788,2021-04-29
15,Perlis,1,359,2021-04-29
5,Pulau Pinang,250,19806,2021-04-30
0,Selangor,1265,132890,2021-04-30
1,Sabah,89,58136,2021-04-30
2,Johor,160,45377,2021-04-30
3,Wp Kuala Lumpur,255,43656,2021-04-30
4,Sarawak,760,30659,2021-04-30
6,Negeri Sembilan,136,18750,2021-04-30
7,Perak,118,14749,2021-04-30
8,Kelantan,464,13832,2021-04-30
9,Kedah,136,9924,2021-04-30
10,Melaka,55,7374,2021-04-30
11,Pahang,54,5178,2021-04-30
12,Terengganu,37,4193,2021-04-30
13,Wp Labuan,2,2453,2021-04-30
14,Wp Putrajaya,2,1372,2021-04-30
15,Perlis,5,364,2021-04-30
6,Negeri Sembilan,89,18839,2021-05-01
0,Selangor,759,133649,2021-05-01
1,Sabah,64,58200,2021-05-01
2,Johor,310,45687,2021-05-01
3,Wp Kuala Lumpur,315,43971,2021-05-01
4,Sarawak,445,31104,2021-05-01
5,Pulau Pinang,133,19939,2021-05-01
7,Perak,64,14813,2021-05-01
8,Kelantan,442,14274,2021-05-01
10,Melaka,54,7428,2021-05-01
11,Pahang,47,5225,2021-05-01
12,Terengganu,42,4235,2021-05-01
13,Wp Labuan,3,2456,2021-05-01
14,Wp Putrajaya,3,1375,2021-05-01
15,Perlis,0,364,2021-05-01
9,Kedah,111,10035,2021-05-01
2,Johor,213,45900,2021-05-02
4,Sarawak,587,31691,2021-05-02
3,Wp Kuala Lumpur,198,44169,2021-05-02
6,Negeri Sembilan,73,18912,2021-05-02
1,Sabah,115,58315,2021-05-02
0,Selangor,1200,134849,2021-05-02
5,Pulau Pinang,145,20084,2021-05-02
15,Perlis,4,368,2021-05-02
8,Kelantan,400,14674,2021-05-02
10,Melaka,61,7489,2021-05-02
7,Perak,77,14890,2021-05-02
14,Wp Putrajaya,8,1383,2021-05-02
9,Kedah,101,10136,2021-05-02
12,Terengganu,184,4419,2021-05-02
11,Pahang,45,5270,2021-05-02
13,Wp Labuan,7,2463,2021-05-02
15,Perlis,0,368,2021-05-03
5,Pulau Pinang,194,20278,2021-05-03
0,Selangor,637,135486,2021-05-03
1,Sabah,57,58372,2021-05-03
2,Johor,205,46105,2021-05-03
4,Sarawak,356,32047,2021-05-03
6,Negeri Sembilan,97,19009,2021-05-03
3,Wp Kuala Lumpur,200,44369,2021-05-03
8,Perak,59,14949,2021-05-03
9,Kedah,103,10239,2021-05-03
11,Pahang,55,5325,2021-05-03
12,Terengganu,38,4457,2021-05-03
13,Wp Labuan,0,2463,2021-05-03
14,Wp Putrajaya,3,1386,2021-05-03
7,Kelantan,401,15075,2021-05-03
10,Melaka,95,7584,2021-05-03
6,Negeri Sembilan,95,19104,2021-05-04
7,Kelantan,296,15371,2021-05-04
1,Sabah,89,58461,2021-05-04
0,Selangor,675,136161,2021-05-04
3,Wp Kuala Lumpur,408,44777,2021-05-04
4,Sarawak,620,32667,2021-05-04
5,Pulau Pinang,167,20445,2021-05-04
2,Johor,336,46441,2021-05-04
13,Wp Labuan,5,2468,2021-05-04
10,Melaka,52,7636,2021-05-04
11,Pahang,41,5366,2021-05-04
12,Terengganu,53,4510,2021-05-04
15,Perlis,0,368,2021-05-04
14,Wp Putrajaya,11,1397,2021-05-04
8,Perak,117,15066,2021-05-04
9,Kedah,155,10394,2021-05-04
15,Perlis,1,369,2021-05-05
6,Negeri Sembilan,76,19180,2021-05-05
0,Selangor,1548,137709,2021-05-05
1,Sabah,50,58511,2021-05-05
2,Johor,292,46733,2021-05-05
3,Wp Kuala Lumpur,313,45090,2021-05-05
4,Sarawak,419,33086,2021-05-05
5,Pulau Pinang,195,20640,2021-05-05
9,Kedah,124,10518,2021-05-05
11,Pahang,49,5415,2021-05-05
12,Terengganu,73,4583,2021-05-05
13,Wp Labuan,5,2473,2021-05-05
14,Wp Putrajaya,11,1408,2021-05-05
7,Kelantan,480,15851,2021-05-05
8,Perak,65,15131,2021-05-05
10,Melaka,43,7679,2021-05-05
5,Pulau Pinang,305,20945,2021-05-06
0,Selangor,1137,138846,2021-05-06
1,Sabah,69,58580,2021-05-06
2,Johor,258,46991,2021-05-06
3,Wp Kuala Lumpur,477,45567,2021-05-06
4,Sarawak,391,33477,2021-05-06
6,Negeri Sembilan,85,19265,2021-05-06
15,Perlis,3,372,2021-05-06
8,Perak,137,15268,2021-05-06
9,Kedah,112,10630,2021-05-06
10,Melaka,82,7761,2021-05-06
11,Pahang,97,5512,2021-05-06
12,Terengganu,58,4641,2021-05-06
13,Wp Labuan,2,2475,2021-05-06
14,Wp Putrajaya,12,1420,2021-05-06
7,Kelantan,326,16177,2021-05-06
6,Negeri Sembilan,188,19453,2021-05-07
0,Selangor,1424,140270,2021-05-07
1,Sabah,153,58733,2021-05-07
2,Johor,327,47318,2021-05-07
3,Wp Kuala Lumpur,436,46003,2021-05-07
4,Sarawak,750,34227,2021-05-07
5,Pulau Pinang,313,21258,2021-05-07
7,Kelantan,297,16474,2021-05-07
9,Kedah,209,10839,2021-05-07
11,Pahang,78,5590,2021-05-07
12,Terengganu,87,4728,2021-05-07
13,Wp Labuan,2,2477,2021-05-07
14,Wp Putrajaya,8,1428,2021-05-07
15,Perlis,4,376,2021-05-07
8,Perak,148,15416,2021-05-07
10,Melaka,74,7835,2021-05-07
5,Pulau Pinang,363,21621,2021-05-08
0,Selangor,1722,141992,2021-05-08
1,Sabah,63,58796,2021-05-08
6,Negeri Sembilan,98,19551,2021-05-08
3,Wp Kuala Lumpur,557,46560,2021-05-08
4,Sarawak,479,34706,2021-05-08
7,Kelantan,373,16847,2021-05-08
2,Johor,288,47606,2021-05-08
9,Kedah,183,11022,2021-05-08
11,Pahang,99,5689,2021-05-08
12,Terengganu,71,4799,2021-05-08
14,Wp Putrajaya,12,1440,2021-05-08
13,Wp Labuan,2,2479,2021-05-08
15,Perlis,1,377,2021-05-08
8,Perak,108,15524,2021-05-08
10,Melaka,100,7935,2021-05-08
0,Selangor,1278,143270,2021-05-09
1,Sabah,61,58857,2021-05-09
2,Johor,365,47971,2021-05-09
3,Wp Kuala Lumpur,338,46898,2021-05-09
4,Sarawak,454,35160,2021-05-09
5,Pulau Pinang,280,21901,2021-05-09
6,Negeri Sembilan,205,19756,2021-05-09
7,Kelantan,254,17101,2021-05-09
8,Perak,80,15604,2021-05-09
9,Kedah,176,11198,2021-05-09
10,Melaka,66,8001,2021-05-09
11,Pahang,100,5789,2021-05-09
12,Terengganu,49,4848,2021-05-09
13,Wp Labuan,6,2485,2021-05-09
14,Wp Putrajaya,20,1460,2021-05-09
15,Perlis,1,378,2021-05-09
6,Negeri Sembilan,144,19900,2021-05-10
0,Selangor,1149,144419,2021-05-10
1,Sabah,96,58953,2021-05-10
2,Johor,257,48228,2021-05-10
3,Wp Kuala Lumpur,320,47218,2021-05-10
4,Sarawak,649,35809,2021-05-10
5,Pulau Pinang,245,22146,2021-05-10
15,Perlis,3,381,2021-05-10
8,Perak,119,15723,2021-05-10
10,Melaka,88,8089,2021-05-10
11,Pahang,77,5866,2021-05-10
12,Terengganu,93,4941,2021-05-10
13,Wp Labuan,3,2488,2021-05-10
14,Wp Putrajaya,11,1471,2021-05-10
7,Kelantan,329,17430,2021-05-10
9,Kedah,224,11422,2021-05-10
6,Negeri Sembilan,126,20026,2021-05-11
5,Pulau Pinang,187,22333,2021-05-11
0,Selangor,1328,145747,2021-05-11
1,Sabah,50,59003,2021-05-11
2,Johor,384,48612,2021-05-11
3,Wp Kuala Lumpur,483,47701,2021-05-11
4,Sarawak,512,36321,2021-05-11
7,Kelantan,321,17751,2021-05-11
8,Perak,140,15863,2021-05-11
10,Melaka,79,8168,2021-05-11
11,Pahang,85,5951,2021-05-11
12,Terengganu,93,5034,2021-05-11
13,Wp Labuan,3,2491,2021-05-11
14,Wp Putrajaya,8,1479,2021-05-11
15,Perlis,0,381,2021-05-11
9,Kedah,174,11596,2021-05-11
7,Kelantan,297,18048,2021-05-12
0,Selangor,2082,147829,2021-05-12
1,Sabah,70,59073,2021-05-12
2,Johor,348,48960,2021-05-12
3,Wp Kuala Lumpur,540,48241,2021-05-12
4,Sarawak,405,36726,2021-05-12
5,Pulau Pinang,259,22592,2021-05-12
6,Negeri Sembilan,122,20148,2021-05-12
9,Kedah,226,11822,2021-05-12
10,Melaka,110,8278,2021-05-12
11,Pahang,63,6014,2021-05-12
12,Terengganu,60,5094,2021-05-12
13,Wp Labuan,6,2497,2021-05-12
14,Wp Putrajaya,4,1483,2021-05-12
15,Perlis,1,382,2021-05-12
8,Perak,172,16035,2021-05-12
6,Negeri Sembilan,100,20248,2021-05-13
15,Perlis,0,382,2021-05-13
1,Sabah,76,59149,2021-05-13
2,Johor,467,49427,2021-05-13
3,Wp Kuala Lumpur,521,48762,2021-05-13
4,Sarawak,395,37121,2021-05-13
5,Pulau Pinang,395,22987,2021-05-13
0,Selangor,1783,149612,2021-05-13
9,Kedah,193,12015,2021-05-13
10,Melaka,67,8345,2021-05-13
11,Pahang,56,6070,2021-05-13
12,Terengganu,148,5242,2021-05-13
13,Wp Labuan,4,2501,2021-05-13
14,Wp Putrajaya,9,1492,2021-05-13
7,Kelantan,339,18387,2021-05-13
8,Perak,302,16337,2021-05-13
6,Negeri Sembilan,124,20372,2021-05-14
5,Pulau Pinang,266,23253,2021-05-14
0,Selangor,1269,150881,2021-05-14
1,Sabah,53,59202,2021-05-14
2,Johor,335,49762,2021-05-14
3,Wp Kuala Lumpur,306,49068,2021-05-14
4,Sarawak,533,37654,2021-05-14
7,Kelantan,371,18758,2021-05-14
8,Perak,147,16484,2021-05-14
10,Melaka,107,8452,2021-05-14
11,Pahang,178,6248,2021-05-14
12,Terengganu,165,5407,2021-05-14
13,Wp Labuan,6,2507,2021-05-14
14,Wp Putrajaya,20,1512,2021-05-14
15,Perlis,5,387,2021-05-14
9,Kedah,228,12243,2021-05-14
0,Selangor,1507,152388,2021-05-15
1,Sabah,60,59262,2021-05-15
2,Johor,433,50195,2021-05-15
3,Wp Kuala Lumpur,398,49466,2021-05-15
4,Sarawak,324,37978,2021-05-15
5,Pulau Pinang,338,23591,2021-05-15
6,Negeri Sembilan,190,20562,2021-05-15
7,Kelantan,109,18867,2021-05-15
8,Perak,182,16666,2021-05-15
9,Kedah,239,12482,2021-05-15
10,Melaka,97,8549,2021-05-15
11,Pahang,116,6364,2021-05-15
12,Terengganu,119,5526,2021-05-15
13,Wp Labuan,3,2510,2021-05-15
14,Wp Putrajaya,23,1535,2021-05-15
15,Perlis,2,389,2021-05-15
6,Negeri Sembilan,70,20632,2021-05-16
0,Selangor,1275,153663,2021-05-16
1,Sabah,87,59349,2021-05-16
2,Johor,224,50419,2021-05-16
3,Wp Kuala Lumpur,342,49808,2021-05-16
4,Sarawak,405,38383,2021-05-16
5,Pulau Pinang,187,23778,2021-05-16
15,Perlis,2,391,2021-05-16
8,Perak,115,16781,2021-05-16
10,Melaka,122,8671,2021-05-16
11,Pahang,159,6523,2021-05-16
12,Terengganu,58,5584,2021-05-16
13,Wp Labuan,7,2517,2021-05-16
14,Wp Putrajaya,7,1542,2021-05-16
7,Kelantan,357,19224,2021-05-16
9,Kedah,363,12845,2021-05-16
3,Wp Kuala Lumpur,477,50582,2021-05-18
7,Kelantan,406,19973,2021-05-18
5,Pulau Pinang,220,24157,2021-05-18
0,Selangor,1743,157056,2021-05-18
1,Sabah,95,59504,2021-05-18
2,Johor,407,51217,2021-05-18
4,Sarawak,512,39328,2021-05-18
6,Negeri Sembilan,149,21024,2021-05-18
9,Kedah,244,13325,2021-05-18
11,Pahang,152,6814,2021-05-18
12,Terengganu,156,5941,2021-05-18
13,Wp Labuan,6,2523,2021-05-18
14,Wp Putrajaya,9,1562,2021-05-18
15,Perlis,2,393,2021-05-18
10,Melaka,127,8878,2021-05-18
8,Perak,160,17144,2021-05-18
7,Kelantan,441,20414,2021-05-19
0,Selangor,2251,159307,2021-05-19
2,Johor,699,51916,2021-05-19
3,Wp Kuala Lumpur,660,51242,2021-05-19
4,Sarawak,323,39651,2021-05-19
5,Pulau Pinang,183,24340,2021-05-19
6,Negeri Sembilan,189,21213,2021-05-19
1,Sabah,160,59664,2021-05-19
8,Perak,220,17364,2021-05-19
9,Kedah,445,13770,2021-05-19
10,Melaka,122,9000,2021-05-19
11,Pahang,150,6964,2021-05-19
12,Terengganu,203,6144,2021-05-19
14,Wp Putrajaya,9,1571,2021-05-19
15,Perlis,6,399,2021-05-19
13,Wp Labuan,14,2537,2021-05-19
15,Perlis,8,407,2021-05-20
0,Selangor,2277,161584,2021-05-20
1,Sabah,245,59909,2021-05-20
2,Johor,615,52531,2021-05-20
3,Wp Kuala Lumpur,655,51897,2021-05-20
4,Sarawak,608,40259,2021-05-20
6,Negeri Sembilan,291,21504,2021-05-20
5,Pulau Pinang,362,24702,2021-05-20
10,Melaka,212,9212,2021-05-20
9,Kedah,417,14187,2021-05-20
11,Pahang,157,7121,2021-05-20
12,Terengganu,233,6377,2021-05-20
13,Wp Labuan,17,2554,2021-05-20
14,Wp Putrajaya,35,1606,2021-05-20
7,Kelantan,426,20840,2021-05-20
8,Perak,248,17612,2021-05-20
3,Wp Kuala Lumpur,641,52538,2021-05-21
4,Sarawak,612,40871,2021-05-21
2,Johor,406,52937,2021-05-21
6,Negeri Sembilan,370,21874,2021-05-21
0,Selangor,2163,163747,2021-05-21
5,Pulau Pinang,302,25004,2021-05-21
1,Sabah,144,60053,2021-05-21
7,Kelantan,467,21307,2021-05-21
8,Perak,382,17994,2021-05-21
13,Wp Labuan,84,2638,2021-05-21
15,Perlis,3,410,2021-05-21
14,Wp Putrajaya,20,1626,2021-05-21
9,Kedah,434,14621,2021-05-21
12,Terengganu,139,6516,2021-05-21
10,Melaka,165,9377,2021-05-21
11,Pahang,161,7282,2021-05-21
7,Kelantan,613,21920,2021-05-22
0,Selangor,1647,165394,2021-05-22
1,Sabah,189,60242,2021-05-22
2,Johor,477,53414,2021-05-22
3,Wp Kuala Lumpur,654,53192,2021-05-22
4,Sarawak,749,41620,2021-05-22
5,Pulau Pinang,359,25363,2021-05-22
6,Negeri Sembilan,396,22270,2021-05-22
9,Kedah,301,14922,2021-05-22
10,Melaka,175,9552,2021-05-22
11,Pahang,227,7509,2021-05-22
12,Terengganu,185,6701,2021-05-22
13,Wp Labuan,36,2674,2021-05-22
14,Wp Putrajaya,18,1644,2021-05-22
15,Perlis,18,428,2021-05-22
8,Perak,276,18270,2021-05-22
6,Negeri Sembilan,434,22704,2021-05-23
15,Perlis,8,436,2021-05-23
1,Sabah,136,60378,2021-05-23
2,Johor,549,53963,2021-05-23
3,Wp Kuala Lumpur,447,53639,2021-05-23
4,Sarawak,663,42283,2021-05-23
5,Pulau Pinang,372,25735,2021-05-23
0,Selangor,2235,167629,2021-05-23
9,Kedah,422,15344,2021-05-23
10,Melaka,209,9761,2021-05-23
11,Pahang,263,7772,2021-05-23
12,Terengganu,266,6967,2021-05-23
13,Wp Labuan,37,2711,2021-05-23
14,Wp Putrajaya,30,1674,2021-05-23
7,Kelantan,626,22546,2021-05-23
8,Perak,279,18549,2021-05-23
6,Negeri Sembilan,329,23033,2021-05-24
5,Pulau Pinang,384,26119,2021-05-24
0,Selangor,2049,169678,2021-05-24
1,Sabah,184,60562,2021-05-24
2,Johor,468,54431,2021-05-24
3,Wp Kuala Lumpur,468,54107,2021-05-24
4,Sarawak,530,42813,2021-05-24
7,Kelantan,451,22997,2021-05-24
8,Perak,231,18780,2021-05-24
10,Melaka,329,10090,2021-05-24
11,Pahang,257,8029,2021-05-24
12,Terengganu,263,7230,2021-05-24
13,Wp Labuan,171,2882,2021-05-24
14,Wp Putrajaya,40,1714,2021-05-24
15,Perlis,7,443,2021-05-24
9,Kedah,348,15692,2021-05-24
0,Selangor,2642,172320,2021-05-25
1,Sabah,266,60828,2021-05-25
2,Johor,664,55095,2021-05-25
3,Wp Kuala Lumpur,604,54711,2021-05-25
4,Sarawak,513,43326,2021-05-25
5,Pulau Pinang,380,26499,2021-05-25
6,Negeri Sembilan,410,23443,2021-05-25
7,Kelantan,425,23422,2021-05-25
8,Perak,218,18998,2021-05-25
9,Kedah,336,16028,2021-05-25
10,Melaka,258,10348,2021-05-25
11,Pahang,211,8240,2021-05-25
12,Terengganu,268,7498,2021-05-25
13,Wp Labuan,63,2945,2021-05-25
14,Wp Putrajaya,23,1737,2021-05-25
15,Perlis,8,451,2021-05-25
6,Kelantan,547,23969,2021-05-26
0,Selangor,2455,174775,2021-05-26
1,Sabah,229,61057,2021-05-26
2,Johor,587,55682,2021-05-26
3,Wp Kuala Lumpur,760,55471,2021-05-26
4,Sarawak,640,43966,2021-05-26
5,Pulau Pinang,420,26919,2021-05-26
15,Perlis,8,459,2021-05-26
8,Perak,264,19262,2021-05-26
10,Melaka,230,10578,2021-05-26
11,Pahang,171,8411,2021-05-26
12,Terengganu,177,7675,2021-05-26
13,Wp Labuan,49,2994,2021-05-26
14,Wp Putrajaya,29,1766,2021-05-26
7,Negeri Sembilan,370,23813,2021-05-26
9,Kedah,542,16570,2021-05-26
4,Sarawak,772,44738,2021-05-27
5,Pulau Pinang,365,27284,2021-05-27
0,Selangor,2675,177450,2021-05-27
1,Sabah,217,61274,2021-05-27
2,Johor,549,56231,2021-05-27
3,Wp Kuala Lumpur,561,56032,2021-05-27
6,Kelantan,754,24723,2021-05-27
7,Negeri Sembilan,353,24166,2021-05-27
8,Perak,228,19490,2021-05-27
9,Kedah,441,17011,2021-05-27
11,Pahang,238,8649,2021-05-27
12,Terengganu,282,7957,2021-05-27
13,Wp Labuan,170,3164,2021-05-27
14,Wp Putrajaya,12,1778,2021-05-27
15,Perlis,6,465,2021-05-27
10,Melaka,234,10812,2021-05-27
0,Selangor,2052,179502,2021-05-28
1,Sabah,308,61582,2021-05-28
2,Johor,762,56993,2021-05-28
3,Wp Kuala Lumpur,830,56862,2021-05-28
4,Sarawak,698,45436,2021-05-28
5,Pulau Pinang,421,27705,2021-05-28
6,Kelantan,851,25574,2021-05-28
7,Negeri Sembilan,520,24686,2021-05-28
8,Perak,405,19895,2021-05-28
9,Kedah,544,17555,2021-05-28
10,Melaka,380,11192,2021-05-28
11,Pahang,254,8903,2021-05-28
12,Terengganu,207,8164,2021-05-28
13,Wp Labuan,6,3170,2021-05-28
14,Wp Putrajaya,44,1822,2021-05-28
15,Perlis,8,473,2021-05-28
6,Kelantan,907,26481,2021-05-29
0,Selangor,2836,182338,2021-05-29
1,Sabah,265,61847,2021-05-29
2,Wp Kuala Lumpur,789,57651,2021-05-29
3,Johor,468,57461,2021-05-29
4,Sarawak,726,46162,2021-05-29
5,Pulau Pinang,345,28050,2021-05-29
15,Perlis,19,492,2021-05-29
8,Perak,272,20167,2021-05-29
10,Melaka,340,11532,2021-05-29
11,Pahang,216,9119,2021-05-29
12,Terengganu,189,8353,2021-05-29
13,Wp Labuan,253,3423,2021-05-29
14,Wp Putrajaya,29,1851,2021-05-29
7,Negeri Sembilan,898,25584,2021-05-29
9,Kedah,468,18023,2021-05-29
6,Kelantan,612,27093,2021-05-30
8,Perak,212,20379,2021-05-30
5,Pulau Pinang,248,28298,2021-05-30
0,Selangor,2477,184815,2021-05-30
1,Sabah,190,62037,2021-05-30
2,Wp Kuala Lumpur,616,58267,2021-05-30
3,Johor,433,57894,2021-05-30
7,Negeri Sembilan,468,26052,2021-05-30
11,Pahang,239,9358,2021-05-30
10,Melaka,202,11734,2021-05-30
12,Terengganu,214,8567,2021-05-30
13,Wp Labuan,133,3556,2021-05-30
14,Wp Putrajaya,13,1864,2021-05-30
15,Perlis,7,499,2021-05-30
9,Kedah,422,18445,2021-05-30
4,Sarawak,513,46675,2021-05-30
7,Negeri Sembilan,253,26305,2021-05-31
0,Selangor,2111,186926,2021-05-31
2,Wp Kuala Lumpur,387,58654,2021-05-31
3,Johor,489,58383,2021-05-31
4,Sarawak,654,47329,2021-05-31
5,Pulau Pinang,328,28626,2021-05-31
6,Kelantan,695,27788,2021-05-31
1,Sabah,207,62244,2021-05-31
8,Perak,255,20634,2021-05-31
9,Kedah,464,18909,2021-05-31
10,Melaka,352,12086,2021-05-31
11,Pahang,219,9577,2021-05-31
12,Terengganu,204,8771,2021-05-31
14,Wp Putrajaya,28,1892,2021-05-31
15,Perlis,12,511,2021-05-31
13,Wp Labuan,166,3722,2021-05-31
15,Perlis,0,511,2021-06-01
0,Selangor,2068,188994,2021-06-01
1,Sabah,318,62562,2021-06-01
2,Wp Kuala Lumpur,817,59471,2021-06-01
3,Johor,431,58814,2021-06-01
4,Sarawak,703,48032,2021-06-01
6,Kelantan,531,28319,2021-06-01
5,Pulau Pinang,400,29026,2021-06-01
10,Melaka,249,12335,2021-06-01
9,Kedah,236,19145,2021-06-01
11,Pahang,190,9767,2021-06-01
12,Terengganu,198,8969,2021-06-01
13,Wp Labuan,162,3884,2021-06-01
14,Wp Putrajaya,18,1910,2021-06-01
7,Negeri Sembilan,397,26702,2021-06-01
8,Perak,387,21021,2021-06-01
5,Pulau Pinang,407,29433,2021-06-02
4,Sarawak,588,48620,2021-06-02
11,Pahang,237,10004,2021-06-02
6,Kelantan,541,28860,2021-06-02
1,Sabah,254,62816,2021-06-02
0,Selangor,2728,191722,2021-06-02
2,Wp Kuala Lumpur,701,60172,2021-06-02
3,Johor,554,59368,2021-06-02
9,Kedah,283,19428,2021-06-02
13,Wp Labuan,159,4043,2021-06-02
15,Perlis,7,518,2021-06-02
14,Wp Putrajaya,1,1911,2021-06-02
7,Negeri Sembilan,586,27288,2021-06-02
10,Melaka,209,12544,2021-06-02
12,Terengganu,224,9193,2021-06-02
8,Perak,224,21245,2021-06-02
7,Negeri Sembilan,576,27864,2021-06-03
0,Selangor,3125,194847,2021-06-03
1,Sabah,203,63019,2021-06-03
2,Wp Kuala Lumpur,801,60973,2021-06-03
3,Johor,752,60120,2021-06-03
4,Sarawak,594,49214,2021-06-03
5,Pulau Pinang,303,29736,2021-06-03
6,Kelantan,414,29274,2021-06-03
9,Kedah,373,19801,2021-06-03
10,Melaka,322,12866,2021-06-03
11,Pahang,135,10139,2021-06-03
12,Terengganu,127,9320,2021-06-03
13,Wp Labuan,62,4105,2021-06-03
14,Wp Putrajaya,33,1944,2021-06-03
15,Perlis,5,523,2021-06-03
8,Perak,384,21629,2021-06-03
6,Kelantan,286,29560,2021-06-04
15,Perlis,8,531,2021-06-04
1,Sabah,287,63306,2021-06-04
2,Wp Kuala Lumpur,851,61824,2021-06-04
3,Johor,446,60566,2021-06-04
4,Sarawak,706,49920,2021-06-04
5,Pulau Pinang,376,30112,2021-06-04
0,Selangor,2612,197459,2021-06-04
9,Kedah,263,20064,2021-06-04
10,Melaka,234,13100,2021-06-04
11,Pahang,146,10285,2021-06-04
12,Terengganu,203,9523,2021-06-04
13,Wp Labuan,230,4335,2021-06-04
14,Wp Putrajaya,20,1964,2021-06-04
7,Negeri Sembilan,709,28573,2021-06-04
8,Perak,371,22000,2021-06-04
6,Kelantan,312,29872,2021-06-05
5,Pulau Pinang,370,30482,2021-06-05
0,Selangor,2509,199968,2021-06-05
1,Sabah,259,63565,2021-06-05
2,Wp Kuala Lumpur,678,62502,2021-06-05
3,Johor,412,60978,2021-06-05
4,Sarawak,651,50571,2021-06-05
7,Negeri Sembilan,843,29416,2021-06-05
8,Perak,252,22252,2021-06-05
10,Melaka,206,13306,2021-06-05
11,Pahang,286,10571,2021-06-05
12,Terengganu,190,9713,2021-06-05
13,Wp Labuan,205,4540,2021-06-05
14,Wp Putrajaya,12,1976,2021-06-05
15,Perlis,4,535,2021-06-05
9,Kedah,263,20327,2021-06-05
0,Selangor,2178,202146,2021-06-06
1,Sabah,305,63870,2021-06-06
2,Wp Kuala Lumpur,415,62917,2021-06-06
3,Johor,565,61543,2021-06-06
4,Sarawak,600,51171,2021-06-06
5,Pulau Pinang,271,30753,2021-06-06
6,Kelantan,270,30142,2021-06-06
7,Negeri Sembilan,556,29972,2021-06-06
8,Perak,174,22426,2021-06-06
9,Kedah,125,20452,2021-06-06
10,Melaka,225,13531,2021-06-06
11,Pahang,155,10726,2021-06-06
