,States,Daily cases,Cumulative,date
15,Perlis,1,47,2021-01-04
14,Wp Putrajaya,6,321,2021-01-04
8,Wp Labuan,1,1722,2021-01-04
9,Pahang,12,1443,2021-01-04
15,Perlis,0,47,2021-01-05
6,Perak,25,3392,2021-01-05
0,Sabah,383,38555,2021-01-05
1,Selangor,509,35676,2021-01-05
2,Wp Kuala Lumpur,313,14677,2021-01-05
3,Negeri Sembilan,98,8236,2021-01-05
4,Johor,428,7328,2021-01-05
5,Pulau Pinang,60,4220,2021-01-05
9,Pahang,25,1468,2021-01-05
11,Sarawak,13,1161,2021-01-05
12,Kelantan,42,976,2021-01-05
13,Terengganu,13,376,2021-01-05
14,Wp Putrajaya,13,334,2021-01-05
7,Kedah,47,3236,2021-01-05
8,Wp Labuan,37,1759,2021-01-05
10,Melaka,21,1404,2021-01-05
5,Pulau Pinang,111,4408,2021-01-07
0,Sabah,493,39453,2021-01-07
1,Selangor,706,37347,2021-01-07
2,Wp Kuala Lumpur,316,15641,2021-01-07
3,Negeri Sembilan,63,8424,2021-01-07
4,Johor,1103,9002,2021-01-07
6,Perak,59,3485,2021-01-07
7,Kedah,30,3308,2021-01-07
8,Wp Labuan,3,1771,2021-01-07
9,Pahang,25,1504,2021-01-07
10,Melaka,11,1428,2021-01-07
11,Sarawak,14,1180,2021-01-07
12,Kelantan,66,1085,2021-01-07
13,Terengganu,10,405,2021-01-07
14,Wp Putrajaya,17,360,2021-01-07
15,Perlis,0,47,2021-01-07
6,Perak,80,3565,2021-01-08
0,Sabah,401,39854,2021-01-08
1,Selangor,1086,38433,2021-01-08
2,Wp Kuala Lumpur,282,15540,2021-01-08
3,Johor,298,9300,2021-01-08
4,Negeri Sembilan,88,8512,2021-01-08
5,Pulau Pinang,75,4483,2021-01-08
7,Kedah,107,3415,2021-01-08
8,Wp Labuan,6,1777,2021-01-08
10,Melaka,70,1498,2021-01-08
11,Sarawak,16,1196,2021-01-08
12,Kelantan,49,1134,2021-01-08
13,Terengganu,34,439,2021-01-08
14,Wp Putrajaya,20,380,2021-01-08
15,Perlis,3,50,2021-01-08
9,Pahang,28,1532,2021-01-08
0,Sabah,409,40263,2021-01-09
3,Johor,302,9602,2021-01-09
5,Pulau Pinang,273,4756,2021-01-09
4,Negeri Sembilan,351,8863,2021-01-09
15,Perlis,8,58,2021-01-09
1,Selangor,564,38997,2021-01-09
6,Perak,42,3607,2021-01-09
2,Wp Kuala Lumpur,198,15738,2021-01-09
8,Wp Labuan,4,1781,2021-01-09
9,Pahang,36,1568,2021-01-09
7,Kedah,65,3480,2021-01-09
14,Wp Putrajaya,17,397,2021-01-09
11,Sarawak,55,1251,2021-01-09
12,Kelantan,61,1195,2021-01-09
10,Melaka,50,1548,2021-01-09
13,Terengganu,16,455,2021-01-09
15,Perlis,5,63,2021-01-10
5,Pulau Pinang,189,4945,2021-01-10
0,Sabah,403,40666,2021-01-10
1,Selangor,730,39727,2021-01-10
2,Wp Kuala Lumpur,231,15969,2021-01-10
4,Negeri Sembilan,144,9007,2021-01-10
6,Perak,80,3687,2021-01-10
3,Johor,321,9923,2021-01-10
8,Wp Labuan,17,1798,2021-01-10
9,Pahang,41,1609,2021-01-10
11,Kelantan,103,1298,2021-01-10
12,Sarawak,24,1275,2021-01-10
13,Terengganu,29,484,2021-01-10
14,Wp Putrajaya,10,407,2021-01-10
7,Kedah,71,3551,2021-01-10
10,Melaka,35,1583,2021-01-10
6,Perak,51,3738,2021-01-11
7,Kedah,40,3591,2021-01-11
0,Sabah,374,41040,2021-01-11
1,Selangor,557,40284,2021-01-11
3,Johor,396,10319,2021-01-11
